Code postal,Code commune,Surface reelle bati,Surface terrain,Nombre pieces principales,n_prev_mutations,days_since_first,avg_days_between,avg_prev_value,value_trend
13820.0,33,100.0,486.0,4.0,1,1401,1401.0,985000.0,0.132
13820.0,33,70.0,1044.0,5.0,1,1110,1110.0,330000.0,0.8951515151515151
13820.0,33,53.0,414.0,3.0,1,749,749.0,70000.0,4.857142857142857
13820.0,33,46.0,0.0,2.0,3,1032,344.0,268540.0,0.026146131805157593
13820.0,33,72.0,453.0,3.0,1,517,517.0,380000.0,0.2789473684210526
13820.0,33,90.0,9280.0,3.0,1,0,0.0,315595.38,2.6439063208086253
13820.0,33,90.0,24.0,4.0,1,717,717.0,266100.0,0.3791807591131154
13820.0,33,150.0,500.0,5.0,1,680,680.0,541216.0,0.13580529769999408
13820.0,33,63.0,500.0,2.0,1,1244,1244.0,491000.0,0.09684317718940937
13820.0,33,104.0,1342.0,5.0,1,630,630.0,642300.0,0.08967772069126577
13820.0,33,130.0,0.0,4.0,1,355,355.0,350000.0,-0.3387857142857143
13820.0,33,140.0,0.0,4.0,1,591,591.0,130000.0,3.3715384615384614
